#Cell ID	Name of strain	Geographical	Genus	Species	Length (μm)	Width proximally (μm)	Stria per 10 μm 	Areolae in stria	Rimoportula	Width distally at apices (μm)	Width distally below the apices (μm)	Areolae in 10 μm
1	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	219	4.96	12	7	2	3.28	2.357	50
2	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	215	5.4	12	7	2	3.582	2.985	50
3	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	219	5.19	11	7	2	2.686	1.791	50
4	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	217	5.65	12	9	2	2.985	2.537	50
5	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	217	5.13	12	7	2	2.985	2.238	50
6	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	216	5.392	12	7	2	3.4	2.985	50
7	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	219	5.509	12	8	2	3.43	2.985	50
8	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	218	5.68	10	8	2	2.96	2.222	50
9	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	215	5.5	11	7	2	3.279	2.592	50
10	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	217	5.318	11	7	2	3.024	2.407	50
11	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	219	5.342	11	7	2	2.878	2.407	40
12	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	219	5.246	11	8	2	2.807	2.407	40
13	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	219	5.61	11	9	2	3.242	2.5	40
14	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	220	5.66	12	9	2	3.497	2.87	50
15	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	218	5.755	12	8	2	3.351	2.962	50
16	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	220	5.464	13	9	2	3.283	2.488	50
17	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	219	5.611	12	8	2	3.429	2.777	50
18	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	219	5.758	12	8	2	3.511	2.9	50
19	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	219	5.537	12	8	2	2.859	2.314	50
20	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	219	5.5	11	7	2	2.956	2.592	40
21	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	218	5.357	11	7	2	2.841	2.407	40
22	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	220	5.288	12	7	2	2.681	2.222	40
23	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	219	5.245	11	7	2	2.861	2.222	40
24	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	218	4.59	11	7	2	2.831	2.985	40
25	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	219	5.828	11	8	2	2.797	2.43	40
26	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	217	5.654	11	7	2	3.358	2.819	40
27	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	218	5.391	12	8	2	2.645	2.309	40
28	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	218	5.333	10	7	2	3.06	2.448	40
29	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	219	5.362	12	8	2	2.652	2.302	40
30	 LAB 58	Lake Labynkyr	Ulnaria	Ulnaria	218	5.362	11	8	2	2.586	2.241	40
31	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	239	5.852	12	8	2	2.926	2.247	50
32	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	236	5.342	11	7	2	2.465	1.967	50
33	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	240	5.347	10	6	2	2.932	2.201	40
34	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	237	5.489	10	8	2	2.579	2.186	40
35	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	236	5.071	10	6	2	2.615	2.156	40
36	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	236	5.187	10	8	2	2.46	1.962	40
37	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	236	5.304	12	6	2	2.477	2.025	40
38	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	237	5.187	11	7	2	2.433	1.661	40
39	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	227	5.2	11	7	2	2.5	2.1	40
40	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	241	5.185	11	7	2	2.674	2.164	40
41	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	238	5.075	11	7	2	2.761	2.193	40
42	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	238	5.187	11	7	2	2.565	2.156	40
43	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	239	5.129	10	6	2	3.001	2.292	40
44	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	239	5.319	11	6	2	2.512	1.923	40
45	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	237	5.245	10	7	2	2.55	2.28	40
46	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	237	5.362	10	7	2	2.477	2.098	40
47	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	239	4.978	10	7	2	2.594	1.749	40
48	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	239	5.304	10	7	2	2.754	2.171	40
49	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	237	5.304	11	7	2	2.454	2.106	40
50	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	237	5.245	10	7	2	2.541	2.067	40
51	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	235	5.51	11	9	2	2.397	2.17	40
52	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	237	5.158	10	10	2	2.536	2.04	40
53	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	238	5.566	10	8	2	2.769	2.419	40
54	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	237	5.362	10	8	2	2.419	1.69	40
55	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	238	5.014	10	7	2	2.797	2.331	40
56	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	236	5.792	11	7	2	2.72	2.448	40
57	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	241	5.286	10	7	2	2.943	2.443	40
58	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	237	5.508	10	8	2	2.652	2.186	40
59	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	239	5.362	10	7	2	2.74	2.156	40
60	 LAB59	Lake Labynkyr	Ulnaria	Ulnaria	238	5.449	10	7	2	2.448	1.938	40
61	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	234	5.624	11	7	2	3.22	2.681	40
62	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	234	5.245	11	7	2	3.424	2.448	40
63	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	234	5.508	11	8	2	3.511	2.871	40
64	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	235	5.306	11	7	2	3.228	2.827	40
65	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	235	5.071	11	7	2	3.322	2.637	40
66	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	235	5.77	12	7	2	3.293	2.856	40
67	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	234	5.585	12	6	2	3.351	2.652	40
68	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	238	5.479	11	7	2	3.439	2.71	40
69	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	236	5.508	11	7	2	2.987	2.258	40
70	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	236	5.245	11	8	2	3.439	2.637	40
71	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	235	5.216	10	7	2	3.293	2.506	40
72	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	236	5.464	10	7	2	3.584	2.914	40
73	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	236	5.304	11	7	2	3.439	2.448	40
74	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	233	5.304	11	7	2	3.41	2.885	40
75	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	235	5.304	11	8	2	3.443	2.617	40
76	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	237	5.537	11	7	2	3.468	2.608	40
77	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	236	5.1	12	7	2	3.298	2.565	40
78	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	234	5.449	12	7	2	3.293	2.608	40
79	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	236	5.337	11	7	2	3.235	2.769	40
80	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	234	5.294	11	7	2	3.57	2.72	40
81	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	233	5.1	11	7	2	3.369	2.55	40
82	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	232	5.216	11	7	2	3.089	2.521	40
83	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	237	4.401	11	7	2	3.147	2.521	40
84	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	235	5.261	11	7	2	3.279	2.532	40
85	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	235	5.231	11	7	2	2.391	1.996	40
86	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	233	4.867	11	8	2	3.249	2.55	40
87	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	235	5.522	12	7	2	3.191	2.71	40
88	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	236	5.423	12	7	2	3.552	2.768	40
89	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	235	5.39	11	7	2	3.278	2.754	40
90	LAB57	Lake Labynkyr	Ulnaria	Ulnaria	237	5.4	11	7	2	3.35	2.623	40
121	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	424	5.369	12	9	2	3.191	2.521	40
122	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	424	4.255	12	8	2	3.191	2.113	40
123	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	427	5.1	12	8	2	3.1	2.26	40
124	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	423	4.226	12	7	2	2.958	1.909	40
125	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	422	4.782	12	7	2	3.381	2.244	40
126	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	426	4.871	12	8	2	3.031	2.273	40
127	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	424	5.129	11	7	2	3.679	2.769	40
128	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	427	4.543	12	8	2	2.812	1.952	40
129	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	370	4.546	11	7	2	3.023	2.594	40
130	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	417	5.406	12	7	2	3.499	2.941	40
131	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	423	4.721	12	7	2	3.468	2.477	40
132	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	423	4.779	12	7	2	3.657	2.681	40
133	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	422	5.003	12	7	2	3.322	2.448	40
134	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	383	4.722	12	7	2	2.963	1.943	40
135	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	426	4.468	12	6	2	3.096	2.187	40
136	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	425	4.896	12	6	2	3.367	2.681	40
137	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	426	4.546	12	6	2	3.541	2.535	40
138	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	427	4.78	11	7	2	3.424	2.36	40
139	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	424	5.406	12	8	2	3.351	2.652	40
140	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	426	4.662	12	7	2	3.06	2.186	40
141	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	419	4.721	12	7	2	2.792	2.86	40
142	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	425	4.721	12	7	2	3.08	2.307	40
143	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	424	5.478	12	8	2	3.147	2.885	40
144	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	427	5.012	12	7	2	3.176	2.302	40
145	BZ7	Lake Baikal, Bargusinsky Bay	Ulnaria	Ulnaria	422	4.164	12	7	2	3.206	2.186	40
