#Cell ID	Столик	Длина	Ширина	Штрихов в 10 мкм	Ареол в штрихе	Римопортулы	Ширина в апексе	Ширина ниже апекса	Вид согласно Марусе
1	17614	245.8	3.7	13	8	2	1.5	1.3	F. radians
2	17614	202.9	3.6	15	6	2	1.3	0.95	
3	17614	238.6	3.4	13	6	2	1.3	0.97	
4	17614	212.4	3.4	12	5	2	1.4	1	U. acus
5	17614	227.5	3.9	13	6	2	1.4	1.3	
6	17614	220	3.7	12	6	2	1.3	0.99	
7	17614	228.5	3.8	13	6	2	1.4	0.98	
8	17614	234.7	3.8	13	7	2	1.4	1.2	
9	17614	228.5	3.8	13	6	2	1.4	0.97	
10	17614	197.7	3.6	15	6	2	1.3	0.98	
11	17614	240.2	3.4	13	6	2	1.1	0.8	
12	17614	234.8	3.6	13	6	2	1.4	1	
13	17614	227.8	3.5	11	5	2	1.5	1	U. acus
14	17614	199.3	3.8	13	7	2	1.4	1	
15	17614	228.8	3.6	13	6	2	1.4	0.99	
16	17614	231.7	3.8	13	7	2	1.3	0.93	
17	17614	343.1	5.4	10	7	2	2.9	1.8	U. acus
18	17614	229.6	3.6	13	6	2	1.2	0.91	
19	17614	214.2	3.7	12	7	2	1.3	0.97	
20	17614	224.3	3.4	13	5	2	1.4	1.1	U. acus
21	17614	208	4.1	13	7	2	1.4	1.1	
22	17614	233.1	3.6	12	6	2	1.3	0.91	
23	17615	205	4.5	12	8	2	1.4	1.2	F. radians
24	17615	216.1	4	13	7	2	1.4	1.2	F. radians
25	17615	230.7	3.5	11	5	2	1.2	0.8	U. acus
26	17615	219.1	4	13	7	2	1.3	1.2	F. radians
27	17615	219.6	3.6	13	6	2	1.2	1.1	F. radians
28	17615	215.8	3.3	14	6	2	1.4	1.2	F. radians
29	17615	206.7	4.1	14	6	2	1.4	1	F. radians
30	17615	220.1	3.7	14	7	2	1.4	1.1	F. radians
31	17615	225.9	4.2	13	7	2	1.6	1.1	F. radians
32	17615	200.5	3.5	14	6	2	1.3	1.1	F. radians
33	17615	227.3	4.1	13	6	2	1.3	1	F. radians
34	17615	224.8	3.9	14	6	2	1.4	1	F. radians
35	17615	216.4	3.5	14	6	2	1.2	0.9	F. radians
36	17615	224	3.8	13	6	2	1.3	0.9	F. radians
37	17615	205.1	3.5	14	7	2	1.3	1	F. radians
38	17615	214	4.1	13	7	2	1.3	1.1	F. radians
39	17615	243.2	4.3	12	7	2	1.4	1.2	F. radians
40	17615	215.4	3.9	14	5	2	1.4	1.3	F. radians
41	17615	242.7	4.1	13	6	2	1.4	1.2	F. radians
42	17615	215.9	4	13	6	2	1.4	1.2	F. radians
43	17615	223.4	3.5	14	6	2	1.3	1.1	F. radians
44	17615	209.3	3.6	13	6	2	1.4	1	U. acus
45	17615	248.6	3.6	13	6	2	1.3	1.2	U. acus
46	17615	232.7	3.5	13	6	2	1.4	1	F. radians
47	17615	212.7	3.7	14	7	2	1.4	1.2	F. radians
48	17615	220	3.4	13	6	2	1.3	1.1	F. radians
49	17615	210.7	3.5	14	7	2	1.3	1.2	F. radians
50	17615	225.5	4	13	6	2	1.3	1.1	F. radians
51	17615	197.6	3.9	13	7	2	1.2	0.9	F. radians
52	17615	222.6	3.4	13	6	2	1.2	0.8	F. radians
53	17615	245.2	3.6	14	6	2	1.2	0.8	F. radians
54	17615	217.8	4.2	14	6	2	1.3	1	F. radians
55	17615	234.5	4	13	6	2	1.5	1.2	
56	17615	240.3	3.8	12	6	2	1.3	0.9	
57	17615	216.5	4.2	13	7	2	1.5	1.3	F. radians
58	17615	225.5	4	13	6	2	1.3	1	F. radians
59	17615	231.7	3.5	14	7	2	1.2	1.1	F. radians
60	17615.1	215.5	3.9	14	7	2	1.5	1.3	F. radians
61	17615.1	189.5	4	14	8	2	1.2	1	F. radians
62	17615.1	219.8	4.1	13	6	2	1.3	1	F. radians
63	17615.1	200.8	4.2	14	7	2	1.3	1.1	F. radians
64	17615.1	211	4.3	13	7	2	1.5	1.2	F. radians
65	17615.1	227	3.8	13	7	2	1.4	1.1	F. radians
66	17615.1	203.2	4.1	13	7	2	1.4	1.2	F. radians
67	17615.1	215.3	4.4	13	7	2	1.5	1.2	F. radians
68	17615.1	214.2	3.9	13	6	2	1.3	1.2	F. radians
69	17615.1	200.4	4.2	13	7	2	1.4	1.2	
70	17615.1	224.3	4.1	13	7	2	1.4	1.2	
71	17615.1	212.5	4.2	13	8	2	1.3	1	
72	17615.1	221	4	14	8	2	1.4	1	
73	17615.1	223.6	4.2	13	6	2	1.4	1.1	
74	17615.1	215.7	4.1	12	7	2	1.4	1	
75	17615.1	230	3.3	15	7	2	1.1	0.9	
76	17615.1	213.6	4.2	12	8	2	1.4	1.2	
77	17615.1	219.7	3.4	14	8	2	1.3	1.1	
78	17615.1	217.9	4.6	12	8	2	1.3	1	
79	17615.1	234.4	4.2	13	8	2	1.5	1.4	
80	17615.1	214	3.7	13	6	2	1.4	1	
81	17615.1	216.4	3.7	13	7	2	1.4	1.1	
82	17615.1	211	4.2	13	8	2	1.4	1.2	
83	17615.1	234.8	4.5	13	8	2	1.4	1.3	
84	17615.1	230.3	4.1	14	6	2	1.4	1.2	
85	17615.1	227.6	3.8	14	7	2	1.6	1.2	
86	17615.1	230.2	3.4	12	6	2	1.3	1.1	
87	17615.1	222.7	4.2	14	8	2	1.4	1.2	
88	17615.1	241.5	4.2	14	8	2	1.5	1.3	
89	17615.1	232.4	4	14	6	2	1.4	1.3	
90	17615.1	215.6	3.7	13	6	2	1.2	1.1	
91	17615.1	215.8	4.3	13	6	2	1.4	1.2	
92	17615.1	229	4.5	13	7	2	1.3	1	
93	17615.1	196.2	4.3	13	7	2	1.4	1.2	
94	17615.1	234.6	4.5	14	8	2	1.6	1.5	
95	17615.1	220.9	4.4	13	8	2	1.3	1.2	
96	17615.1	207.4	4.2	13	8	2	1.4	1.1	
97	17615.1	253.7	4.5	12	7	2	1.5	1.4	
